channel,error,precision,recall,f1,tp,tn,fp,fn,context_ood_rate_window,context_ood_rate_point,score_mode,elapsed_seconds
A-1,,1.0,0.5,0.6666666666666666,42.0,8272.0,0.0,42.0,0.0,0.0,counterfactual_successor_memory,136.86449670791626
A-2,,0.24,0.05454545454545454,0.08888888888888889,6.0,7501.0,19.0,104.0,0.16506894287590282,0.6482306684141547,counterfactual_successor_memory,83.16536712646484
A-3,,1.0,0.1891891891891892,0.3181818181818182,35.0,7736.0,0.0,150.0,0.12749810270680495,0.5359171821739679,counterfactual_successor_memory,85.96927809715271
A-4,,0.0,0.0,0.0,0.0,7686.0,0.0,110.0,0.12286338516900142,0.5705489994869164,counterfactual_successor_memory,85.60277342796326
A-5,,0.022909507445589918,0.8,0.044543429844097995,40.0,2653.0,1706.0,10.0,0.996358670914884,1.0,counterfactual_successor_memory,18.40786838531494
A-6,,0.08,1.0,0.14814814814814814,40.0,3669.0,460.0,0.0,1.0,1.0,counterfactual_successor_memory,21.5196475982666
A-7,,0.9872611464968153,0.96875,0.9779179810725552,2325.0,5917.0,30.0,75.0,0.39678348535765723,0.8831915658320355,counterfactual_successor_memory,93.8469455242157
A-8,,0.0,0.0,0.0,0.0,4286.0,0.0,3805.0,0.6521792966815255,0.9865282412557163,counterfactual_successor_memory,23.34591293334961
A-9,,0.9550072568940493,0.17028985507246377,0.2890401932791566,658.0,4255.0,31.0,3206.0,0.9573448063921327,0.9993865030674847,counterfactual_successor_memory,21.118415355682373
B-1,,0.9459459459459459,1.0,0.9722222222222222,70.0,7686.0,4.0,0.0,0.0,0.0,counterfactual_successor_memory,78.03306651115417
C-1,,0.0,0.0,0.0,0.0,1630.0,40.0,310.0,0.042239185750636135,0.3575757575757576,counterfactual_successor_memory,69.08269810676575
C-2,,0.13026819923371646,0.5037037037037037,0.2070015220700152,68.0,1178.0,454.0,67.0,1.0,1.0,counterfactual_successor_memory,31.189831972122192
D-1,,0.999656121045392,0.8922651933701657,0.9429127473240351,2907.0,4966.0,1.0,351.0,0.10377588306942753,0.4347720364741641,counterfactual_successor_memory,52.88184595108032
D-11,,0.0,0.0,0.0,0.0,7087.0,0.0,60.0,0.4448962422882782,0.6150832517140059,counterfactual_successor_memory,36.536962032318115
D-12,,1.0,0.02701715954728003,0.0526128688233203,74.0,4895.0,0.0,2665.0,0.33534584591153693,0.33756877128635054,counterfactual_successor_memory,2.6008877754211426
D-13,,1.0,0.4625,0.6324786324786325,74.0,7219.0,0.0,86.0,0.0,0.0,counterfactual_successor_memory,19.577184200286865
D-14,,0.595,0.5409090909090909,0.5666666666666667,119.0,2040.0,81.0,101.0,0.0,0.0,counterfactual_successor_memory,113.37845754623413
D-15,,0.5397301349325337,0.5625,0.5508798775822494,360.0,927.0,307.0,280.0,0.1947283485745024,0.5693703308431163,counterfactual_successor_memory,81.17185997962952
D-16,,0.0,0.0,0.0,0.0,1257.0,0.0,650.0,0.635306553911205,0.8280020975353959,counterfactual_successor_memory,51.70926117897034
D-2,,0.9121621621621622,0.03201327958264169,0.061855670103092786,135.0,4081.0,13.0,4082.0,0.0,0.0,counterfactual_successor_memory,152.31685042381287
D-3,,0.9587414663104779,0.9862595419847329,0.9723058398555088,3230.0,4942.0,139.0,45.0,0.849418534947848,0.9971278123504069,counterfactual_successor_memory,171.60229682922363
D-4,,1.0,0.8798891284262396,0.9361074705111402,2857.0,4942.0,0.0,390.0,0.6654024957181307,0.7749419953596288,counterfactual_successor_memory,109.96019530296326
D-5,,0.02672367717797969,1.0,0.052056220718375845,50.0,5473.0,1821.0,0.0,1.0,1.0,counterfactual_successor_memory,93.78776693344116
D-6,,0.7457627118644068,0.55,0.6330935251798561,44.0,7505.0,15.0,36.0,0.9997363216875412,1.0,counterfactual_successor_memory,101.43205499649048
D-7,,1.0,0.0273972602739726,0.05333333333333334,74.0,4657.0,0.0,2627.0,0.0,0.0,counterfactual_successor_memory,110.982421875
D-8,,0.9047619047619048,0.76,0.8260869565217391,38.0,7536.0,4.0,12.0,0.0,0.0,counterfactual_successor_memory,97.68089699745178
D-9,,0.9911504424778761,0.09696969696969697,0.17665615141955837,112.0,5966.0,1.0,1043.0,0.0,0.0,counterfactual_successor_memory,103.34160137176514
E-1,,1.0,0.466403162055336,0.6361185983827493,236.0,7726.0,0.0,270.0,0.048557867834976266,0.2597181729834791,counterfactual_successor_memory,106.57295298576355
E-10,,0.97165991902834,0.75,0.8465608465608465,240.0,7894.0,7.0,80.0,0.07933219595417987,0.28646150103393747,counterfactual_successor_memory,160.98085498809814
E-11,,0.9047619047619048,0.7781569965870307,0.8366972477064221,228.0,7913.0,24.0,65.0,0.07096774193548387,0.3029161603888214,counterfactual_successor_memory,145.71178650856018
E-12,,0.13314244810307801,0.32013769363166955,0.18806875631951467,186.0,6436.0,1211.0,395.0,0.03092657981249239,0.24137092853670394,counterfactual_successor_memory,130.65085744857788
E-13,,0.19345238095238096,0.24904214559386972,0.21775544388609716,65.0,7824.0,271.0,196.0,0.06629900491547776,0.46685016754427955,counterfactual_successor_memory,125.04614472389221
E-2,,0.0,0.0,0.0,0.0,6851.0,0.0,1397.0,0.4065346775173084,0.9196168768186227,counterfactual_successor_memory,123.65115141868591
E-3,,0.7598086124401914,0.24719800747198006,0.37303265210241954,794.0,4560.0,251.0,2418.0,0.7365134865134865,0.9845444347500935,counterfactual_successor_memory,116.15979552268982
E-4,,1.0,0.003913198150124511,0.007795889440113395,11.0,5259.0,0.0,2800.0,0.30291744258224707,0.7146220570012392,counterfactual_successor_memory,155.3892548084259
E-5,,0.15732758620689655,0.228125,0.18622448979591838,73.0,7299.0,391.0,247.0,0.49218261413383363,0.9746566791510611,counterfactual_successor_memory,113.3481035232544
E-6,,0.6632653061224489,1.0,0.7975460122699386,65.0,7918.0,33.0,0.0,0.3009623797025372,0.7465069860279441,counterfactual_successor_memory,173.28044986724854
E-7,,0.8115942028985508,1.0,0.896,280.0,7681.0,65.0,0.0,0.031706403694919484,0.23448791427859456,counterfactual_successor_memory,117.01468300819397
E-8,,0.9095477386934674,0.2909967845659164,0.440925700365408,181.0,7608.0,18.0,441.0,0.7279242074577918,0.9932104752667313,counterfactual_successor_memory,111.38915944099426
E-9,,0.0,0.0,0.0,0.0,7668.0,0.0,350.0,0.5060602274147195,0.9676976802195061,counterfactual_successor_memory,116.45594358444214
F-1,,0.21495327102803738,0.69,0.32779097387173395,69.0,7948.0,252.0,31.0,0.18261919130959564,0.6883132530120482,counterfactual_successor_memory,125.32330846786499
F-2,,1.0,0.5487144790257105,0.7086063783311489,1622.0,5386.0,0.0,1334.0,0.3394980184940555,0.8451210740829538,counterfactual_successor_memory,111.7001543045044
F-3,,0.02865329512893983,0.75,0.05519779208831647,30.0,7035.0,1017.0,10.0,1.0,1.0,counterfactual_successor_memory,110.10011982917786
F-4,,0.006389776357827476,0.02857142857142857,0.010443864229765013,2.0,2757.0,311.0,68.0,0.23150816522574447,0.5484384958572339,counterfactual_successor_memory,83.96437668800354
F-5,,0.948905109489051,0.8666666666666667,0.9059233449477352,130.0,3481.0,7.0,20.0,0.1476676787192934,0.5618471687740517,counterfactual_successor_memory,98.44792485237122
F-7,,0.0,0.0,0.0,0.0,4350.0,0.0,420.0,0.1049421661409043,0.569392033542977,counterfactual_successor_memory,95.14076542854309
F-8,,0.695852534562212,0.28171641791044777,0.40106241699867196,151.0,1601.0,66.0,385.0,0.5680987202925045,0.7162959600544712,counterfactual_successor_memory,122.70355987548828
G-1,,0.01361573373676248,0.15,0.024965325936199722,18.0,6761.0,1304.0,102.0,0.7795593635250918,0.9534514355528405,counterfactual_successor_memory,177.83718585968018
G-2,,0.7857142857142857,0.825,0.8048780487804879,33.0,7028.0,9.0,7.0,0.0,0.0,counterfactual_successor_memory,95.97431659698486
G-3,,0.10615711252653928,1.0,0.19193857965451055,50.0,7152.0,421.0,0.0,0.09608307045215563,0.10205955660501115,counterfactual_successor_memory,111.22326278686523
G-4,,0.12396694214876033,1.0,0.22058823529411764,30.0,7106.0,212.0,0.0,0.11468703122869221,0.33805117038649973,counterfactual_successor_memory,103.8518271446228
G-6,,0.0,0.0,0.0,0.0,5599.0,2657.0,100.0,0.9991607720896775,1.0,counterfactual_successor_memory,110.65814661979675
G-7,,0.5079365079365079,0.7245283018867924,0.5972006220839814,192.0,7294.0,186.0,73.0,0.20582147477360932,0.4569399612653325,counterfactual_successor_memory,93.77728366851807
M-1,,0.9245283018867925,0.04298245614035088,0.08214585079631181,49.0,849.0,4.0,1091.0,0.29069767441860467,0.8324134470647265,counterfactual_successor_memory,89.82349562644958
M-2,,0.9076464746772592,0.8017543859649123,0.8514205868653936,914.0,760.0,93.0,226.0,0.6683518705763397,0.9202207727044657,counterfactual_successor_memory,79.6157877445221
M-3,,0.0,0.0,0.0,0.0,1593.0,0.0,250.0,0.19912472647702406,0.733043950081389,counterfactual_successor_memory,70.26862168312073
M-4,,0.0,0.0,0.0,0.0,1504.0,0.0,250.0,0.08913168487636573,0.42474344355758265,counterfactual_successor_memory,71.31473875045776
M-5,,0.6262626262626263,0.20666666666666667,0.3107769423558897,62.0,1682.0,37.0,238.0,0.08183632734530938,0.4725111441307578,counterfactual_successor_memory,74.08495092391968
M-6,,0.0,0.0,0.0,0.0,1511.0,74.0,180.0,0.0,0.0,counterfactual_successor_memory,55.08902621269226
M-7,,0.8771929824561403,1.0,0.9345794392523364,100.0,1758.0,14.0,0.0,0.39041464728056,0.47702991452991456,counterfactual_successor_memory,55.97413730621338
P-1,,0.9181585677749361,0.4799465240641711,0.630377524143986,359.0,7441.0,32.0,389.0,0.045576407506702415,0.3656489478165673,counterfactual_successor_memory,114.13205647468567
P-10,,0.07506702412868632,0.8615384615384616,0.1381011097410604,112.0,4306.0,1380.0,18.0,0.38045164626788486,0.8517881705639615,counterfactual_successor_memory,165.25331115722656
P-11,,0.8514851485148515,0.3805309734513274,0.5259938837920489,86.0,3010.0,15.0,140.0,0.06582200247218789,0.3780375269147955,counterfactual_successor_memory,158.33214259147644
P-14,,0.09356136820925554,0.5166666666666667,0.15843270868824533,93.0,4735.0,901.0,87.0,0.9986209274263058,1.0,counterfactual_successor_memory,112.41472482681274
P-15,,0.013431833445265278,1.0,0.026507620941020542,20.0,1083.0,1469.0,0.0,0.45404771216269063,0.8110419906687403,counterfactual_successor_memory,140.153235912323
P-2,,0.38114499066583696,1.0,0.551926109484118,1225.0,4711.0,1989.0,0.0,0.9366624525916561,1.0,counterfactual_successor_memory,119.00339937210083
P-3,,0.989080982711556,0.8142322097378277,0.8931799506984388,1087.0,6862.0,12.0,248.0,0.8852819135953136,0.9952491168229991,counterfactual_successor_memory,115.80910181999207
P-4,,1.0,0.5181818181818182,0.6826347305389222,228.0,7059.0,0.0,212.0,0.0,0.0,counterfactual_successor_memory,100.74344229698181
P-7,,0.9045592705167174,0.9018181818181819,0.9031866464339909,1488.0,5980.0,157.0,162.0,0.4845599588265569,0.9178117375112367,counterfactual_successor_memory,108.80929636955261
R-1,,0.0,0.0,0.0,0.0,6880.0,0.0,80.0,1.0,1.0,counterfactual_successor_memory,108.21370577812195
S-1,,1.0,0.6733780760626398,0.8048128342245989,301.0,6600.0,0.0,146.0,0.04308873720136519,0.30835816659571447,counterfactual_successor_memory,111.07768559455872
S-2,,0.22727272727272727,1.0,0.37037037037037035,10.0,1499.0,34.0,0.0,0.33049738219895286,0.3376539209332469,counterfactual_successor_memory,39.096535205841064
T-1,,0.05237515225334957,0.02803129074315515,0.03651804670912951,43.0,6016.0,778.0,1491.0,0.3869842415493805,0.7770172910662824,counterfactual_successor_memory,114.90339803695679
T-10,,,,,,,,,0.6172506738544474,0.9740932642487047,counterfactual_successor_memory,5.718893527984619
T-12,,0.0,0.0,0.0,0.0,2026.0,0.0,120.0,0.25105584232754574,0.6486486486486487,counterfactual_successor_memory,36.66204023361206
T-13,,0.0,0.0,0.0,0.0,1896.0,0.0,250.0,0.31909901454716094,0.7567567567567568,counterfactual_successor_memory,36.83060932159424
T-2,,0.05322294500295683,0.20179372197309417,0.08423022929340196,360.0,153.0,6404.0,1424.0,0.3650012010569301,0.8236422491307996,counterfactual_successor_memory,107.69305062294006
T-3,,0.2696296296296296,1.0,0.42473745624270715,182.0,7620.0,493.0,0.0,0.14758454106280194,0.5537070524412296,counterfactual_successor_memory,112.57832717895508
T-4,,1.0,0.4264705882352941,0.5979381443298969,29.0,1865.0,0.0,39.0,0.02502606882168926,0.22503879979306776,counterfactual_successor_memory,86.17533373832703
T-5,,0.5434782608695652,1.0,0.704225352112676,25.0,1888.0,21.0,0.0,0.0,0.0,counterfactual_successor_memory,84.91282105445862
T-8,,0.4484848484848485,0.74,0.5584905660377358,74.0,1044.0,91.0,26.0,0.41065573770491803,0.8226720647773279,counterfactual_successor_memory,21.384106397628784
T-9,,0.5677966101694916,0.6090909090909091,0.5877192982456141,67.0,651.0,51.0,43.0,0.8243412797992472,1.0,counterfactual_successor_memory,6.425653696060181
